NAME	# MATCHING PROBE SETS	MATCHING PROBE SET(S)	
FBXO24	1	ENSG00000106336	
FBXO21	1	ENSG00000135108	
FBXO22	1	ENSG00000167196	
FADS3	1	ENSG00000221968	
FADS2	1	ENSG00000134824	
POFUT2	1	ENSG00000186866	
PTAR1	1	ENSG00000188647	
FNTA	1	ENSG00000168522	
POFUT1	1	ENSG00000101346	
FADS6	1	ENSG00000172782	
POTEI	1	ENSG00000196834	
POTEJ	1	ENSG00000222038	
FNTB	1	ENSG00000257365	
TNFRSF8	1	ENSG00000120949	
NEK1	1	ENSG00000137601	
NEK2	1	ENSG00000117650	
NEK3	1	ENSG00000136098	
TNFRSF4	1	ENSG00000186827	
FADS1	1	ENSG00000149485	
POTEC	1	ENSG00000183206	
KCNH2	1	ENSG00000055118	
PIAS4	1	ENSG00000105229	
PIAS3	1	ENSG00000131788	
KCNH3	1	ENSG00000135519	
KCNH4	1	ENSG00000089558	
DGAT2	1	ENSG00000062282	
DGAT1	1	ENSG00000185000	
STX8	1	ENSG00000170310	
STX7	1	ENSG00000079950	
FBXO17	1	ENSG00000269190	
FGD5P1	1	ENSG00000275340	
FBXO15	1	ENSG00000141665	
FBXO10	1	ENSG00000147912	
NEAT1	1	ENSG00000245532	
FBXO11	1	ENSG00000138081	
PIAS2	1	ENSG00000078043	
PIAS1	1	ENSG00000033800	
LENG1	1	ENSG00000105617	
MINPP1	1	ENSG00000107789	
DMTF1	1	ENSG00000135164	
PKP2	1	ENSG00000057294	
PKP4	1	ENSG00000144283	
MIR210HG	1	ENSG00000247095	
BLK	1	ENSG00000136573	
KCNE1	1	ENSG00000180509	
BLM	1	ENSG00000197299	
KCNE3	1	ENSG00000175538	
KCNE4	1	ENSG00000152049	
ZC4H2	1	ENSG00000126970	
KCNE5	1	ENSG00000176076	
IREB2	1	ENSG00000136381	
FBXO48	1	ENSG00000204923	
FBXO45	1	ENSG00000174013	
FBXO46	1	ENSG00000177051	
FBXO43	1	ENSG00000156509	
NPAS1	1	ENSG00000130751	
FBXO44	1	ENSG00000132879	
FBXO41	1	ENSG00000163013	
CCDC144A	1	ENSG00000170160	
NPAS2	1	ENSG00000170485	
FBXO42	1	ENSG00000037637	
GRAMD4P3	1	ENSG00000278301	
CCDC144B	1	ENSG00000154874	
FAM111A-DT	1	ENSG00000245571	
MBIP	1	ENSG00000151332	
BMF	1	ENSG00000104081	
NEK8	1	ENSG00000160602	
NEK9	1	ENSG00000119638	
SDF2L1	1	ENSG00000128228	
RASL10A	1	ENSG00000100276	
NEK4	1	ENSG00000114904	
NEK5	1	ENSG00000197168	
RASL10B	1	ENSG00000270885	
TNFRSF9	1	ENSG00000049249	
NEK6	1	ENSG00000119408	
FBXO38	1	ENSG00000145868	
NEK7	1	ENSG00000151414	
FBXO39	1	ENSG00000177294	
STYX	1	ENSG00000198252	
FBXO36	1	ENSG00000153832	
FBXO34	1	ENSG00000178974	
FBXO32	1	ENSG00000156804	
FBXO33	1	ENSG00000165355	
FBXO30	1	ENSG00000118496	
FBXO31	1	ENSG00000103264	
FAM90A1	1	ENSG00000171847	
DRAP1	1	ENSG00000175550	
CELP	1	ENSG00000170827	
MNAT1	1	ENSG00000020426	
SLC49A4	1	ENSG00000138463	
SLC49A3	1	ENSG00000169026	
BCAR3	1	ENSG00000137936	
KCNK5	1	ENSG00000164626	
PIWIL2	1	ENSG00000197181	
KCNK6	1	ENSG00000099337	
PIWIL1	1	ENSG00000125207	
PIWIL4	1	ENSG00000134627	
KCNK7	1	ENSG00000173338	
ALAS1	1	ENSG00000023330	
PIWIL3	1	ENSG00000184571	
ONECUT3	1	ENSG00000205922	
LRRC37BP1	1	ENSG00000250462	
EDRF1-DT	1	ENSG00000224023	
PPWD1	1	ENSG00000113593	
NENF	1	ENSG00000117691	
TNFSF13B	1	ENSG00000102524	
BOC	1	ENSG00000144857	
SPDL1	1	ENSG00000040275	
NEO1	1	ENSG00000067141	
BCAS2	1	ENSG00000116752	
BCAS1	1	ENSG00000064787	
BOK	1	ENSG00000176720	
SLC36A1	1	ENSG00000123643	
BCAS4	1	ENSG00000124243	
BCAS3	1	ENSG00000141376	
SLC36A3	1	ENSG00000186334	
PIANP	1	ENSG00000139200	
SLC36A2	1	ENSG00000186335	
VPS13C	1	ENSG00000129003	
VPS13D	1	ENSG00000048707	
DHPS	1	ENSG00000095059	
VPS13A	1	ENSG00000197969	
VPS13B	1	ENSG00000132549	
HTR3B	1	ENSG00000149305	
CCDC183-AS1	1	ENSG00000228544	
RABGGTB	1	ENSG00000137955	
RABGGTA	1	ENSG00000100949	
NEMF	1	ENSG00000165525	
C1D	1	ENSG00000197223	
BCAT1	1	ENSG00000060982	
BCAT2	1	ENSG00000105552	
C1S	1	ENSG00000182326	
C1R	1	ENSG00000159403	
LRTM2	1	ENSG00000166159	
LENG9	1	ENSG00000275183	
LENG8	1	ENSG00000167615	
KCNQ5-IT1	1	ENSG00000233844	
U2AF1	1	ENSG00000160201	
IL2RG	1	ENSG00000147168	
DRAM1	1	ENSG00000136048	
U2AF2	1	ENSG00000063244	
DRAM2	1	ENSG00000156171	
TSPOAP1	1	ENSG00000005379	
SLC36A4	1	ENSG00000180773	
KCNJ2	1	ENSG00000123700	
KCNJ3	1	ENSG00000162989	
KCNJ5	1	ENSG00000120457	
KCNJ6	1	ENSG00000157542	
GPKOW	1	ENSG00000068394	
GSTZ1	1	ENSG00000100577	
IL2RA	1	ENSG00000134460	
IL2RB	1	ENSG00000100385	
KCNK1	1	ENSG00000135750	
BCAR1	1	ENSG00000050820	
KCNK3	1	ENSG00000171303	
SLC23A3	1	ENSG00000213901	
SLC23A2	1	ENSG00000089057	
CERK	1	ENSG00000100422	
NOP56P1	1	ENSG00000235559	
LGALSL	1	ENSG00000119862	
CCP110	1	ENSG00000103540	
PEX26	1	ENSG00000215193	
LGALS4	1	ENSG00000171747	
C4B	1	ENSG00000224389	
LGALS3	1	ENSG00000131981	
C4A	1	ENSG00000244731	
LGALS2	1	ENSG00000100079	
LGALS1	1	ENSG00000100097	
HMGN2P46	1	ENSG00000179362	
IL36B	1	ENSG00000136696	
BSG	1	ENSG00000172270	
ATXN7L1	1	ENSG00000146776	
LGALS9	1	ENSG00000168961	
LGALS8	1	ENSG00000116977	
ATXN7L2	1	ENSG00000162650	
BSN	1	ENSG00000164061	
ATXN7L3	1	ENSG00000087152	
INHBA-AS1	1	ENSG00000224116	
LIMCH1	1	ENSG00000064042	
PSMD10P2	1	ENSG00000226652	
PSMD10P1	1	ENSG00000228663	
EGLN1P1	1	ENSG00000254779	
GOLPH3L	1	ENSG00000143457	
DRAIC	1	ENSG00000245750	
ZNF542P	1	ENSG00000240225	
CFDP1	1	ENSG00000153774	
BTD	1	ENSG00000169814	
SOAT1	1	ENSG00000057252	
CRISPLD2	1	ENSG00000103196	
SOAT2	1	ENSG00000167780	
KCNQ1	1	ENSG00000053918	
SUB1	1	ENSG00000113387	
NINJ2	1	ENSG00000171840	
KCNQ2	1	ENSG00000075043	
NINJ1	1	ENSG00000131669	
BTK	1	ENSG00000010671	
KCNQ3	1	ENSG00000184156	
KCNQ4	1	ENSG00000117013	
KCNQ5	1	ENSG00000185760	
DOCK9-DT	1	ENSG00000260992	
CES3	1	ENSG00000172828	
CES2	1	ENSG00000172831	
CES1	1	ENSG00000198848	
CETP	1	ENSG00000087237	
GRB7	1	ENSG00000141738	
DHX8	1	ENSG00000067596	
DHX9	1	ENSG00000135829	
RRAD	1	ENSG00000166592	
ZBTB1	1	ENSG00000126804	
ZBTB5	1	ENSG00000168795	
ZBTB4	1	ENSG00000174282	
ZBTB3	1	ENSG00000185670	
ZBTB2	1	ENSG00000181472	
NEU3	1	ENSG00000162139	
MRNIP	1	ENSG00000161010	
RRAS	1	ENSG00000126458	
RACGAP1	1	ENSG00000161800	
SEPTIN7P9	1	ENSG00000120555	
NEU1	1	ENSG00000204386	
KCNN1	1	ENSG00000105642	
KCNN2	1	ENSG00000080709	
STK25P1	1	ENSG00000267570	
KCNN3	1	ENSG00000143603	
KCNN4	1	ENSG00000104783	
H3C6	1	ENSG00000274750	
BBS2	1	ENSG00000125124	
NTNG1	1	ENSG00000162631	
BBS1	1	ENSG00000174483	
NTNG2	1	ENSG00000196358	
SLC10A5	1	ENSG00000253598	
XBP1	1	ENSG00000100219	
SLC10A7	1	ENSG00000120519	
YES1	1	ENSG00000176105	
TRDV2	1	ENSG00000211821	
TRDV3	1	ENSG00000256590	
SLC10A3	1	ENSG00000126903	
TRDV1	1	ENSG00000211804	
SUCO	1	ENSG00000094975	
IL36G	1	ENSG00000136688	
CPLANE1	1	ENSG00000197603	
CPLANE2	1	ENSG00000132881	
NET1	1	ENSG00000173848	
ZBTB9	1	ENSG00000213588	
PEX5L	1	ENSG00000114757	
ZBTB6	1	ENSG00000186130	
MC1R	1	ENSG00000258839	
SPDYA	1	ENSG00000163806	
FAM30A	1	ENSG00000226777	
GRB2	1	ENSG00000177885	
GRAP	1	ENSG00000154016	
OSBPL10-AS1	1	ENSG00000232490	
TFB1M	1	ENSG00000029639	
C8G	1	ENSG00000176919	
SUFU	1	ENSG00000107882	
RNF213-AS1	1	ENSG00000263069	
BBS9	1	ENSG00000122507	
BBS7	1	ENSG00000138686	
BBS5	1	ENSG00000163093	
BBS4	1	ENSG00000140463	
EIF5AL1	1	ENSG00000253626	
PCYT1B	1	ENSG00000102230	
ZHX2	1	ENSG00000178764	
FCER1G	1	ENSG00000158869	
PCYT1A	1	ENSG00000161217	
ZHX3	1	ENSG00000174306	
AGTRAP	1	ENSG00000177674	
CACYBP	1	ENSG00000116161	
TFB2M	1	ENSG00000162851	
ZHX1	1	ENSG00000165156	
RNF144A	1	ENSG00000151692	
RNF144B	1	ENSG00000137393	
PITPNM1	1	ENSG00000110697	
PITPNM3	1	ENSG00000091622	
PITPNM2	1	ENSG00000090975	
TAX1BP1	1	ENSG00000106052	
FAM32A	1	ENSG00000105058	
FAM193B	1	ENSG00000146067	
TAX1BP3	1	ENSG00000213977	
FAM193A	1	ENSG00000125386	
SSNA1	1	ENSG00000176101	
NEXN	1	ENSG00000162614	
PEX16	1	ENSG00000121680	
PEX19	1	ENSG00000162735	
KLHL2	1	ENSG00000109466	
KLHL3	1	ENSG00000146021	
PEX10	1	ENSG00000157911	
KLHL4	1	ENSG00000102271	
KCNRG	1	ENSG00000198553	
PEX12	1	ENSG00000108733	
CFAP157	1	ENSG00000160401	
PEX13	1	ENSG00000162928	
PEX14	1	ENSG00000142655	
KLHL9	1	ENSG00000198642	
ETAA1	1	ENSG00000143971	
TFAP4	1	ENSG00000090447	
KLHL5	1	ENSG00000109790	
KCNS1	1	ENSG00000124134	
KLHL6	1	ENSG00000172578	
KLHL7	1	ENSG00000122550	
KLHL8	1	ENSG00000145332	
CFAP161	1	ENSG00000156206	
INPPL1	1	ENSG00000165458	
PTPRD-AS1	1	ENSG00000225706	
PLAT	1	ENSG00000104368	
RBM22P2	1	ENSG00000213411	
PLB1	1	ENSG00000163803	
TXN2	1	ENSG00000100348	
IGF1R	1	ENSG00000140443	
PPIP5K1	1	ENSG00000168781	
PLAU	1	ENSG00000122861	
PPIP5K2	1	ENSG00000145725	
ENPP2	1	ENSG00000136960	
RXYLT1	1	ENSG00000118600	
ENPP1	1	ENSG00000197594	
ENPP4	1	ENSG00000001561	
ENPP3	1	ENSG00000154269	
ENPP6	1	ENSG00000164303	
ENPP5	1	ENSG00000112796	
CARD10	1	ENSG00000100065	
SNORA59B	1	ENSG00000266079	
CPSF1P1	1	ENSG00000214076	
ADAM11	1	ENSG00000073670	
ADAM10	1	ENSG00000137845	
DHDDS	1	ENSG00000117682	
ADAM19	1	ENSG00000135074	
ADAM17	1	ENSG00000151694	
BRMS1	1	ENSG00000174744	
ADAM15	1	ENSG00000143537	
CARD19	1	ENSG00000165233	
ADAM12	1	ENSG00000148848	
CARD17	1	ENSG00000255221	
PLAA	1	ENSG00000137055	
CARD16	1	ENSG00000204397	
CARD14	1	ENSG00000141527	
CARD11	1	ENSG00000198286	
CCDC15-DT	1	ENSG00000285825	
HTRA4	1	ENSG00000169495	
PLD5	1	ENSG00000180287	
DAPP1	1	ENSG00000070190	
HTRA2	1	ENSG00000115317	
PLD4	1	ENSG00000166428	
PLD6	1	ENSG00000179598	
PLD1	1	ENSG00000075651	
PLD3	1	ENSG00000105223	
PLD2	1	ENSG00000129219	
NME1-NME2	1	ENSG00000011052	
KCNV1	1	ENSG00000164794	
GRK3	1	ENSG00000100077	
GRK2	1	ENSG00000173020	
GRK5	1	ENSG00000198873	
GRK4	1	ENSG00000125388	
GRK7	1	ENSG00000114124	
GRK6	1	ENSG00000198055	
PIBF1	1	ENSG00000083535	
HULC	1	ENSG00000285219	
U62317.1	1	ENSG00000272666	
ZNF350-AS1	1	ENSG00000269235	
CHCHD10	1	ENSG00000250479	
FAM199X	1	ENSG00000123575	
IGF2R	1	ENSG00000197081	
BSPRY	1	ENSG00000119411	
ZMYND15	1	ENSG00000141497	
ZMYND19	1	ENSG00000165724	
PLEK	1	ENSG00000115956	
PITPNC1	1	ENSG00000154217	
GRM2	1	ENSG00000164082	
MIR3945HG	1	ENSG00000251230	
GRM4	1	ENSG00000124493	
CA3	1	ENSG00000164879	
GRM7	1	ENSG00000196277	
CA2	1	ENSG00000104267	
GRM6	1	ENSG00000113262	
CA6	1	ENSG00000131686	
MYBL2	1	ENSG00000101057	
TMEM189-UBE2V1	1	ENSG00000124208	
MYBL1	1	ENSG00000185697	
SUN3	1	ENSG00000164744	
SUN2	1	ENSG00000100242	
SUN1	1	ENSG00000164828	
ATP6AP1	1	ENSG00000071553	
CAD	1	ENSG00000084774	
ATP6AP2	1	ENSG00000182220	
HUNK	1	ENSG00000142149	
SEPTIN7P2	1	ENSG00000214765	
ELF1	1	ENSG00000120690	
ELF2	1	ENSG00000109381	
GFOD1	1	ENSG00000145990	
ELF3	1	ENSG00000163435	
ELF4	1	ENSG00000102034	
ELF5	1	ENSG00000135374	
CAT	1	ENSG00000121691	
GFOD2	1	ENSG00000141098	
ZMYND10	1	ENSG00000004838	
ZMYND11	1	ENSG00000015171	
MSH2-OT1	1	ENSG00000235760	
SHANK3	1	ENSG00000251322	
SHANK2	1	ENSG00000162105	
SHANK1	1	ENSG00000161681	
PLEC	1	ENSG00000178209	
KRT17P2	1	ENSG00000186831	
RRN3	1	ENSG00000085721	
KRT17P1	1	ENSG00000131885	
CBL	1	ENSG00000110395	
KRT17P8	1	ENSG00000256937	
SV2C	1	ENSG00000122012	
SV2B	1	ENSG00000185518	
SV2A	1	ENSG00000159164	
CBS	1	ENSG00000160200	
TBX21	1	ENSG00000073861	
TBX20	1	ENSG00000164532	
CKS1BP3	1	ENSG00000268942	
CLVS1	1	ENSG00000177182	
RRM1	1	ENSG00000167325	
RRM2	1	ENSG00000171848	
ATP5PBP5	1	ENSG00000254944	
SUOX	1	ENSG00000139531	
TBX19	1	ENSG00000143178	
HS3ST1	1	ENSG00000002587	
CD2	1	ENSG00000116824	
CD4	1	ENSG00000010610	
CCS	1	ENSG00000173992	
CD6	1	ENSG00000013725	
CD5	1	ENSG00000110448	
CD7	1	ENSG00000173762	
CD9	1	ENSG00000010278	
VPS29	1	ENSG00000111237	
CDA	1	ENSG00000158825	
FRMPD3	1	ENSG00000147234	
FRMPD1	1	ENSG00000070601	
CLEC10A	1	ENSG00000132514	
RRP1	1	ENSG00000160214	
FRMPD2	1	ENSG00000170324	
EPS15-AS1	1	ENSG00000227070	
ELK1	1	ENSG00000126767	
RRP8	1	ENSG00000132275	
ELK3	1	ENSG00000111145	
RRP9	1	ENSG00000114767	
BPTFP1	1	ENSG00000263647	
ELK4	1	ENSG00000158711	
ALCAM	1	ENSG00000170017	
SCN11A	1	ENSG00000168356	
VPS35	1	ENSG00000069329	
VPS36	1	ENSG00000136100	
VPS39	1	ENSG00000166887	
VPS18	1	ENSG00000104142	
RPL36AP26	1	ENSG00000235828	
CLEC11A	1	ENSG00000105472	
HUS1	1	ENSG00000136273	
CEL	1	ENSG00000170835	
NUP93	1	ENSG00000102900	
H3P6	1	ENSG00000235655	
BCAM	1	ENSG00000187244	
HECW2	1	ENSG00000138411	
HECW1	1	ENSG00000002746	
TARS2	1	ENSG00000143374	
SRFBP1	1	ENSG00000151304	
DLX6-AS1	1	ENSG00000231764	
NUP98	1	ENSG00000110713	
TARS3	1	ENSG00000185418	
TARS1	1	ENSG00000113407	
VPS25	1	ENSG00000131475	
VPS28	1	ENSG00000160948	
CFB	1	ENSG00000243649	
RNF216P1	1	ENSG00000196204	
CFD	1	ENSG00000197766	
CFH	1	ENSG00000000971	
PLEKHA8P1	1	ENSG00000134297	
CFI	1	ENSG00000205403	
CFP	1	ENSG00000126759	
RRP7A	1	ENSG00000189306	
RN7SL440P	1	ENSG00000264963	
NUP85	1	ENSG00000125450	
ST3GAL4	1	ENSG00000110080	
VPS11	1	ENSG00000160695	
RRS1	1	ENSG00000179041	
ST3GAL5	1	ENSG00000115525	
ST3GAL6	1	ENSG00000064225	
NUP88	1	ENSG00000108559	
ST3GAL1	1	ENSG00000008513	
ST3GAL2	1	ENSG00000157350	
ST3GAL3	1	ENSG00000126091	
VPS16	1	ENSG00000215305	
C3orf18	1	ENSG00000088543	
PLK4	1	ENSG00000142731	
LRRC37A3	1	ENSG00000176809	
ARL14EP	1	ENSG00000152219	
PLK3	1	ENSG00000173846	
LRRC37A2	1	ENSG00000238083	
PLK5	1	ENSG00000185988	
APOOL	1	ENSG00000155008	
GTF2IRD2	1	ENSG00000196275	
MCAM	1	ENSG00000076706	
PLK2	1	ENSG00000145632	
PLK1	1	ENSG00000166851	
KLF3-AS1	1	ENSG00000231160	
CGN	1	ENSG00000143375	
C3orf14	1	ENSG00000114405	
MCAT	1	ENSG00000100294	
ELL2	1	ENSG00000118985	
TRBV25-1	1	ENSG00000282499	
ELL3	1	ENSG00000128886	
ZNF559-ZNF177	1	ENSG00000270011	
OR10AH1P	1	ENSG00000272595	
GTF2IRD1	1	ENSG00000006704	
TMEM225B	1	ENSG00000244219	
RSPH10B	1	ENSG00000155026	
MOCS2	1	ENSG00000164172	
MOCS3	1	ENSG00000124217	
STON1	1	ENSG00000243244	
CHM	1	ENSG00000188419	
MCEE	1	ENSG00000124370	
FGD5-AS1	1	ENSG00000225733	
DGUOK-AS1	1	ENSG00000237883	
ELOA	1	ENSG00000011007	
ELOB	1	ENSG00000103363	
RRP12	1	ENSG00000052749	
ELOC	1	ENSG00000154582	
CIC	1	ENSG00000079432	
RRP15	1	ENSG00000067533	
ZIK1	1	ENSG00000171649	
EDARADD	1	ENSG00000186197	
RPS6KL1	1	ENSG00000198208	
EXOC8	1	ENSG00000116903	
PLLP	1	ENSG00000102934	
EXOC7	1	ENSG00000182473	
ECRG4	1	ENSG00000119147	
CIT	1	ENSG00000122966	
PCOTH	1	ENSG00000205861	
EXOC4	1	ENSG00000131558	
PLIN4	1	ENSG00000167676	
PLIN3	1	ENSG00000105355	
EXOC3	1	ENSG00000180104	
EXOC6	1	ENSG00000138190	
PLIN2	1	ENSG00000147872	
EXOC5	1	ENSG00000070367	
PLIN1	1	ENSG00000166819	
RCCD1	1	ENSG00000166965	
MOCS1	1	ENSG00000124615	
EXOC2	1	ENSG00000112685	
EXOC1	1	ENSG00000090989	
PLIN5	1	ENSG00000214456	
NFIX	1	ENSG00000008441	
C1orf198	1	ENSG00000119280	
PRUNE2	1	ENSG00000106772	
PRUNE1	1	ENSG00000143363	
C1orf194	1	ENSG00000179902	
METTL21A	1	ENSG00000144401	
TRBV12-3	1	ENSG00000274752	
TRBV12-4	1	ENSG00000276953	
TRBV12-5	1	ENSG00000275158	
APOL4	1	ENSG00000100336	
APOL6	1	ENSG00000221963	
RRP36	1	ENSG00000124541	
CKB	1	ENSG00000166165	
APOL1	1	ENSG00000100342	
PAIP2	1	ENSG00000120727	
KPNA2P3	1	ENSG00000266820	
APOL3	1	ENSG00000128284	
APOL2	1	ENSG00000128335	
PAIP1	1	ENSG00000172239	
MCF2	1	ENSG00000101977	
MOCOS	1	ENSG00000075643	
ELP1	1	ENSG00000070061	
RFLNB	1	ENSG00000183688	
MTND1P23	1	ENSG00000225972	
G0S2	1	ENSG00000123689	
ELP2	1	ENSG00000134759	
ELP3	1	ENSG00000134014	
ELP4	1	ENSG00000109911	
RRP1B	1	ENSG00000160208	
HIPK1	1	ENSG00000163349	
ELP5	1	ENSG00000170291	
ELP6	1	ENSG00000163832	
HIPK3	1	ENSG00000110422	
HIPK2	1	ENSG00000064393	
RPL4P4	1	ENSG00000229638	
HERC2P10	1	ENSG00000259845	
NFIA	1	ENSG00000162599	
RPL4P6	1	ENSG00000230071	
NFIC	1	ENSG00000141905	
FOSB	1	ENSG00000125740	
PLP2	1	ENSG00000102007	
CLC	1	ENSG00000105205	
MYL12BP1	1	ENSG00000260490	
MSX2P1	1	ENSG00000229590	
TMEM229B	1	ENSG00000198133	
RPL4P1	1	ENSG00000240954	
FAM49A	1	ENSG00000197872	
FAM49B	1	ENSG00000153310	
C1orf174	1	ENSG00000198912	
CLU	1	ENSG00000120885	
LCLAT1	1	ENSG00000172954	
THG1L	1	ENSG00000113272	
CFL2	1	ENSG00000165410	
CFL1	1	ENSG00000172757	
PLS3	1	ENSG00000102024	
OIP5	1	ENSG00000104147	
IL13RA2	1	ENSG00000123496	
PLS1	1	ENSG00000120756	
IL13RA1	1	ENSG00000131724	
KCMF1	1	ENSG00000176407	
C1orf189	1	ENSG00000163263	
COL27A1	1	ENSG00000196739	
FKBPL	1	ENSG00000204315	
LEMD3	1	ENSG00000174106	
FAM91A1	1	ENSG00000176853	
LEMD2	1	ENSG00000161904	
TOM1L1	1	ENSG00000141198	
TOM1L2	1	ENSG00000175662	
OBSCN	1	ENSG00000154358	
FKBP8	1	ENSG00000105701	
FKBP7	1	ENSG00000079150	
FKBP9	1	ENSG00000122642	
FKBP4	1	ENSG00000004478	
FKBP3	1	ENSG00000100442	
FKBP6	1	ENSG00000077800	
FKBP5	1	ENSG00000096060	
C1orf158	1	ENSG00000157330	
FKBP2	1	ENSG00000173486	
CNP	1	ENSG00000173786	
GLUD1P2	1	ENSG00000265366	
H2BC19P	1	ENSG00000220323	
CD300LB	1	ENSG00000178789	
CD300LF	1	ENSG00000186074	
PLTP	1	ENSG00000100979	
CD300LG	1	ENSG00000161649	
MCL1	1	ENSG00000143384	
C1orf167	1	ENSG00000215910	
C1orf162	1	ENSG00000143110	
TCEANC	1	ENSG00000176896	
BCL9	1	ENSG00000116128	
UBOX5	1	ENSG00000185019	
BCL6	1	ENSG00000113916	
CPD	1	ENSG00000108582	
BCL3	1	ENSG00000069399	
BCL2	1	ENSG00000171791	
GLUD1P3	1	ENSG00000250959	
C1orf159	1	ENSG00000131591	
OSCP1	1	ENSG00000116885	
SLC48A1	1	ENSG00000211584	
CPM	1	ENSG00000135678	
CPO	1	ENSG00000144410	
MCM7	1	ENSG00000166508	
CPQ	1	ENSG00000104324	
MCM8	1	ENSG00000125885	
ZC3H4	1	ENSG00000130749	
C1orf131	1	ENSG00000143633	
ZC3H3	1	ENSG00000014164	
MCM9	1	ENSG00000111877	
ZC3H8	1	ENSG00000144161	
ZC3H6	1	ENSG00000188177	
KBTBD12	1	ENSG00000187715	
VPS72	1	ENSG00000163159	
CEP170B	1	ENSG00000099814	
EVI5L	1	ENSG00000142459	
CLEC12A-AS1	1	ENSG00000231560	
DPRXP4	1	ENSG00000264743	
CR2	1	ENSG00000117322	
CR1	1	ENSG00000203710	
GGPS1	1	ENSG00000152904	
