NAME	TITLE	SCORE	
MYCL	"MYCL proto-oncogene, bHLH transcription factor [Source:HGNC Symbol;Acc:HGNC:7555]"	1.5391135	
CDC25A	cell division cycle 25A [Source:HGNC Symbol;Acc:HGNC:1725]	1.5340632	
GAPDHP65	glyceraldehyde 3 phosphate dehydrogenase pseudogene 65 [Source:HGNC Symbol;Acc:HGNC:4143]	1.531407	
CDON	"cell adhesion associated, oncogene regulated [Source:HGNC Symbol;Acc:HGNC:17104]"	1.5291934	
KIF14	kinesin family member 14 [Source:HGNC Symbol;Acc:HGNC:19181]	1.520073	
TPX2	TPX2 microtubule nucleation factor [Source:HGNC Symbol;Acc:HGNC:1249]	1.5181363	
FAM92A	family with sequence similarity 92 member A [Source:HGNC Symbol;Acc:HGNC:30452]	1.5177611	
SNORD21	"small nucleolar RNA, C/D box 21 [Source:HGNC Symbol;Acc:HGNC:10144]"	1.510993	
FGD6	"FYVE, RhoGEF and PH domain containing 6 [Source:HGNC Symbol;Acc:HGNC:21740]"	1.4899476	
HELLS	"helicase, lymphoid specific [Source:HGNC Symbol;Acc:HGNC:4861]"	1.4810591	
C1orf54	chromosome 1 open reading frame 54 [Source:HGNC Symbol;Acc:HGNC:26258]	1.4636064	
PDE9A	phosphodiesterase 9A [Source:HGNC Symbol;Acc:HGNC:8795]	1.4538064	
WDR17	WD repeat domain 17 [Source:HGNC Symbol;Acc:HGNC:16661]	1.4395549	
LINC00877	long intergenic non-protein coding RNA 877 [Source:HGNC Symbol;Acc:HGNC:27706]	1.4382665	
EPB41L2	erythrocyte membrane protein band 4.1 like 2 [Source:HGNC Symbol;Acc:HGNC:3379]	1.424956	
RPS6KA5	ribosomal protein S6 kinase A5 [Source:HGNC Symbol;Acc:HGNC:10434]	1.414299	
MRPL35P3	mitochondrial ribosomal protein L35 pseudogene 3 [Source:HGNC Symbol;Acc:HGNC:23731]	1.4106503	
CYP2J2	cytochrome P450 family 2 subfamily J member 2 [Source:HGNC Symbol;Acc:HGNC:2634]	1.4017746	
PMS2P5	"PMS1 homolog 2, mismatch repair system component pseudogene 5 [Source:HGNC Symbol;Acc:HGNC:9130]"	1.3969595	
NEDD8-MDP1	NEDD8-MDP1 readthrough [Source:HGNC Symbol;Acc:HGNC:39551]	1.3856019	
PNMA2	PNMA family member 2 [Source:HGNC Symbol;Acc:HGNC:9159]	1.3847795	
ERICH5	glutamate rich 5 [Source:HGNC Symbol;Acc:HGNC:26823]	1.3805052	
SCN4A	sodium voltage-gated channel alpha subunit 4 [Source:HGNC Symbol;Acc:HGNC:10591]	1.3734074	
CST6	cystatin E/M [Source:HGNC Symbol;Acc:HGNC:2478]	1.3709323	
GEN1	GEN1 Holliday junction 5' flap endonuclease [Source:HGNC Symbol;Acc:HGNC:26881]	1.3686076	
NPM1P22	nucleophosmin 1 pseudogene 22 [Source:HGNC Symbol;Acc:HGNC:39679]	1.3620446	
KLHL23	kelch like family member 23 [Source:HGNC Symbol;Acc:HGNC:27506]	1.35485	
XKR5	XK related 5 [Source:HGNC Symbol;Acc:HGNC:20782]	1.3514225	
MYH3	myosin heavy chain 3 [Source:HGNC Symbol;Acc:HGNC:7573]	1.3494937	
BEX5	brain expressed X-linked 5 [Source:HGNC Symbol;Acc:HGNC:27990]	1.348329	
LSM12P1	LSM12 pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:32453]	1.3423871	
OSCP1	organic solute carrier partner 1 [Source:HGNC Symbol;Acc:HGNC:29971]	1.3279405	
VN1R81P	vomeronasal 1 receptor 81 pseudogene [Source:HGNC Symbol;Acc:HGNC:37401]	1.3228716	
H2BW3P	"H2B.W histone 3, pseudogene [Source:HGNC Symbol;Acc:HGNC:44390]"	1.320539	
FANCI	FA complementation group I [Source:HGNC Symbol;Acc:HGNC:25568]	1.3189017	
ZACN	zinc activated ion channel [Source:HGNC Symbol;Acc:HGNC:29504]	1.3104494	
KIF5C	kinesin family member 5C [Source:HGNC Symbol;Acc:HGNC:6325]	1.309921	
TICRR	TOPBP1 interacting checkpoint and replication regulator [Source:HGNC Symbol;Acc:HGNC:28704]	1.3091921	
SULF2	sulfatase 2 [Source:HGNC Symbol;Acc:HGNC:20392]	1.3091382	
WDHD1	WD repeat and HMG-box DNA binding protein 1 [Source:HGNC Symbol;Acc:HGNC:23170]	1.3088143	
PARPBP	PARP1 binding protein [Source:HGNC Symbol;Acc:HGNC:26074]	1.3066496	
HSPE1-MOB4	HSPE1-MOB4 readthrough [Source:HGNC Symbol;Acc:HGNC:49184]	1.3059916	
UHRF1	ubiquitin like with PHD and ring finger domains 1 [Source:HGNC Symbol;Acc:HGNC:12556]	1.3038294	
INPP4B	inositol polyphosphate-4-phosphatase type II B [Source:HGNC Symbol;Acc:HGNC:6075]	1.303549	
BACE1	beta-secretase 1 [Source:HGNC Symbol;Acc:HGNC:933]	1.3025581	
FAM153B	family with sequence similarity 153 member B [Source:HGNC Symbol;Acc:HGNC:27323]	1.2996829	
DMC1	DNA meiotic recombinase 1 [Source:HGNC Symbol;Acc:HGNC:2927]	1.2994336	
ERMN	ermin [Source:HGNC Symbol;Acc:HGNC:29208]	1.2933314	
CAMK2B	calcium/calmodulin dependent protein kinase II beta [Source:HGNC Symbol;Acc:HGNC:1461]	1.2877252	
RAD18	RAD18 E3 ubiquitin protein ligase [Source:HGNC Symbol;Acc:HGNC:18278]	1.2868344	
TLX2	T cell leukemia homeobox 2 [Source:HGNC Symbol;Acc:HGNC:5057]	1.2799655	
HSBP1	heat shock factor binding protein 1 [Source:HGNC Symbol;Acc:HGNC:5203]	1.279635	
MCM10	minichromosome maintenance 10 replication initiation factor [Source:HGNC Symbol;Acc:HGNC:18043]	1.2796028	
UCHL3	ubiquitin C-terminal hydrolase L3 [Source:HGNC Symbol;Acc:HGNC:12515]	1.2729466	
CCDC138	coiled-coil domain containing 138 [Source:HGNC Symbol;Acc:HGNC:26531]	1.2709305	
GEMIN8P4	gem nuclear organelle associated protein 8 pseudogene 4 [Source:HGNC Symbol;Acc:HGNC:37979]	1.2692455	
DHFR	dihydrofolate reductase [Source:HGNC Symbol;Acc:HGNC:2861]	1.26638	
PIR	pirin [Source:HGNC Symbol;Acc:HGNC:30048]	1.2603691	
CPSF6	cleavage and polyadenylation specific factor 6 [Source:HGNC Symbol;Acc:HGNC:13871]	1.2581	
ARPIN-AP3S2	ARPIN-AP3S2 readthrough [Source:HGNC Symbol;Acc:HGNC:38824]	1.255126	
SH2D5	SH2 domain containing 5 [Source:HGNC Symbol;Acc:HGNC:28819]	1.2516959	
NKIRAS1	NFKB inhibitor interacting Ras like 1 [Source:HGNC Symbol;Acc:HGNC:17899]	1.2516737	
TAF7L	TATA-box binding protein associated factor 7 like [Source:HGNC Symbol;Acc:HGNC:11548]	1.2497692	
IL12RB2	interleukin 12 receptor subunit beta 2 [Source:HGNC Symbol;Acc:HGNC:5972]	1.248216	
RAD54L	RAD54 like [Source:HGNC Symbol;Acc:HGNC:9826]	1.2461772	
ACVR1	activin A receptor type 1 [Source:HGNC Symbol;Acc:HGNC:171]	1.2450109	
DTL	denticleless E3 ubiquitin protein ligase homolog [Source:HGNC Symbol;Acc:HGNC:30288]	1.2427473	
SMIM11A	small integral membrane protein 11A [Source:HGNC Symbol;Acc:HGNC:1293]	1.2422704	
ASF1B	anti-silencing function 1B histone chaperone [Source:HGNC Symbol;Acc:HGNC:20996]	1.2411554	
DYRK3	dual specificity tyrosine phosphorylation regulated kinase 3 [Source:HGNC Symbol;Acc:HGNC:3094]	1.2392756	
HMGB3	high mobility group box 3 [Source:HGNC Symbol;Acc:HGNC:5004]	1.2382714	
CBARP	CACN subunit beta associated regulatory protein [Source:HGNC Symbol;Acc:HGNC:28617]	1.2382163	
AK4	adenylate kinase 4 [Source:HGNC Symbol;Acc:HGNC:363]	1.2380637	
PDLIM3	PDZ and LIM domain 3 [Source:HGNC Symbol;Acc:HGNC:20767]	1.2379844	
GSTO1	glutathione S-transferase omega 1 [Source:HGNC Symbol;Acc:HGNC:13312]	1.2348676	
TEX48	testis expressed 48 [Source:HGNC Symbol;Acc:HGNC:52393]	1.2303083	
TRPM2	transient receptor potential cation channel subfamily M member 2 [Source:HGNC Symbol;Acc:HGNC:12339]	1.2299523	
CXADR	CXADR Ig-like cell adhesion molecule [Source:HGNC Symbol;Acc:HGNC:2559]	1.2246891	
DSCC1	DNA replication and sister chromatid cohesion 1 [Source:HGNC Symbol;Acc:HGNC:24453]	1.2243352	
IQCA1	IQ motif containing with AAA domain 1 [Source:HGNC Symbol;Acc:HGNC:26195]	1.2213051	
CEP41	centrosomal protein 41 [Source:HGNC Symbol;Acc:HGNC:12370]	1.2192498	
ALDH1B1	aldehyde dehydrogenase 1 family member B1 [Source:HGNC Symbol;Acc:HGNC:407]	1.2179757	
RPSAP18	ribosomal protein SA pseudogene 18 [Source:HGNC Symbol;Acc:HGNC:36106]	1.2171994	
NAA15	"N(alpha)-acetyltransferase 15, NatA auxiliary subunit [Source:HGNC Symbol;Acc:HGNC:30782]"	1.2165511	
DBNDD2	dysbindin domain containing 2 [Source:HGNC Symbol;Acc:HGNC:15881]	1.2162249	
SLC4A11	solute carrier family 4 member 11 [Source:HGNC Symbol;Acc:HGNC:16438]	1.2149973	
GGH	gamma-glutamyl hydrolase [Source:HGNC Symbol;Acc:HGNC:4248]	1.2149189	
CD28	CD28 molecule [Source:HGNC Symbol;Acc:HGNC:1653]	1.2141817	
FUT8-AS1	FUT8 antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:44294]	1.2138423	
CENPO	centromere protein O [Source:HGNC Symbol;Acc:HGNC:28152]	1.2125884	
CAMK4	calcium/calmodulin dependent protein kinase IV [Source:HGNC Symbol;Acc:HGNC:1464]	1.2044592	
ENPP2	ectonucleotide pyrophosphatase/phosphodiesterase 2 [Source:HGNC Symbol;Acc:HGNC:3357]	1.2039407	
ZNF100	zinc finger protein 100 [Source:HGNC Symbol;Acc:HGNC:12880]	1.2016894	
HS6ST2	heparan sulfate 6-O-sulfotransferase 2 [Source:HGNC Symbol;Acc:HGNC:19133]	1.2010736	
SRPK1	SRSF protein kinase 1 [Source:HGNC Symbol;Acc:HGNC:11305]	1.198577	
RYR1	ryanodine receptor 1 [Source:HGNC Symbol;Acc:HGNC:10483]	1.196598	
GSTCD	glutathione S-transferase C-terminal domain containing [Source:HGNC Symbol;Acc:HGNC:25806]	1.1929218	
CBX3	chromobox 3 [Source:HGNC Symbol;Acc:HGNC:1553]	1.1859719	
TIPIN	TIMELESS interacting protein [Source:HGNC Symbol;Acc:HGNC:30750]	1.1848776	
AUNIP	aurora kinase A and ninein interacting protein [Source:HGNC Symbol;Acc:HGNC:28363]	1.1833363	
RAB8A	"RAB8A, member RAS oncogene family [Source:HGNC Symbol;Acc:HGNC:7007]"	1.1823463	
POLR3G	RNA polymerase III subunit G [Source:HGNC Symbol;Acc:HGNC:30075]	1.1800435	
PSMD14	"proteasome 26S subunit, non-ATPase 14 [Source:HGNC Symbol;Acc:HGNC:16889]"	1.1795481	
RAB13	"RAB13, member RAS oncogene family [Source:HGNC Symbol;Acc:HGNC:9762]"	1.1782086	
IPO11	importin 11 [Source:HGNC Symbol;Acc:HGNC:20628]	1.1776516	
LRPPRC	leucine rich pentatricopeptide repeat containing [Source:HGNC Symbol;Acc:HGNC:15714]	1.1758944	
RPS4XP1	ribosomal protein S4X pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:32444]	1.1745917	
CEP55	centrosomal protein 55 [Source:HGNC Symbol;Acc:HGNC:1161]	1.1663109	
RRAGD	Ras related GTP binding D [Source:HGNC Symbol;Acc:HGNC:19903]	1.1658819	
HEATR3	HEAT repeat containing 3 [Source:HGNC Symbol;Acc:HGNC:26087]	1.1635417	
RRM1	ribonucleotide reductase catalytic subunit M1 [Source:HGNC Symbol;Acc:HGNC:10451]	1.1629877	
BZW1P2	basic leucine zipper and W2 domains 1 pseudogene 2 [Source:HGNC Symbol;Acc:HGNC:33954]	1.1628805	
GMNN	geminin DNA replication inhibitor [Source:HGNC Symbol;Acc:HGNC:17493]	1.1610206	
VRK1	VRK serine/threonine kinase 1 [Source:HGNC Symbol;Acc:HGNC:12718]	1.1603802	
NIPAL1	NIPA like domain containing 1 [Source:HGNC Symbol;Acc:HGNC:27194]	1.1598842	
DGUOK-AS1	DGUOK antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:43441]	1.1562651	
RPL4P4	ribosomal protein L4 pseudogene 4 [Source:HGNC Symbol;Acc:HGNC:36179]	1.1552342	
STAM-AS1	STAM antisense RNA 1 (head to head) [Source:HGNC Symbol;Acc:HGNC:49568]	1.1530945	
CCDC106	coiled-coil domain containing 106 [Source:HGNC Symbol;Acc:HGNC:30181]	1.15211	
C9orf135	chromosome 9 open reading frame 135 [Source:HGNC Symbol;Acc:HGNC:31422]	1.1513295	
HSPD1P5	heat shock protein family D (Hsp60) member 1 pseudogene 5 [Source:HGNC Symbol;Acc:HGNC:5266]	1.1510127	
TRIM47	tripartite motif containing 47 [Source:HGNC Symbol;Acc:HGNC:19020]	1.1505126	
BHLHB9	basic helix-loop-helix family member b9 [Source:HGNC Symbol;Acc:HGNC:29353]	1.1454619	
KIF11	kinesin family member 11 [Source:HGNC Symbol;Acc:HGNC:6388]	1.145324	
HASPIN	histone H3 associated protein kinase [Source:HGNC Symbol;Acc:HGNC:19682]	1.1422344	
IGF2	insulin like growth factor 2 [Source:HGNC Symbol;Acc:HGNC:5466]	1.140848	
KCTD12	potassium channel tetramerization domain containing 12 [Source:HGNC Symbol;Acc:HGNC:14678]	1.1399409	
FZD9	frizzled class receptor 9 [Source:HGNC Symbol;Acc:HGNC:4047]	1.1396483	
CU633906.2	uncharacterized LOC102724701 [Source:NCBI gene;Acc:102724701]	1.1372011	
SGO1	shugoshin 1 [Source:HGNC Symbol;Acc:HGNC:25088]	1.1368966	
CDC6	cell division cycle 6 [Source:HGNC Symbol;Acc:HGNC:1744]	1.1363837	
GOLGA6L1	golgin A6 family like 1 [Source:HGNC Symbol;Acc:HGNC:37444]	1.1355816	
PPIAP75	peptidylprolyl isomerase A pseudogene 75 [Source:HGNC Symbol;Acc:HGNC:53699]	1.134899	
RFC5	replication factor C subunit 5 [Source:HGNC Symbol;Acc:HGNC:9973]	1.1337814	
KBTBD8	kelch repeat and BTB domain containing 8 [Source:HGNC Symbol;Acc:HGNC:30691]	1.133656	
FUT8	fucosyltransferase 8 [Source:HGNC Symbol;Acc:HGNC:4019]	1.1335676	
GMFB	glia maturation factor beta [Source:HGNC Symbol;Acc:HGNC:4373]	1.1329503	
NUDT4P2	nudix hydrolase 4 pseudogene 2 [Source:HGNC Symbol;Acc:HGNC:18013]	1.1315737	
BTF3L4P2	basic transcription factor 3 like 4 pseudogene 2 [Source:HGNC Symbol;Acc:HGNC:39646]	1.1296836	
PRELID3B	PRELI domain containing 3B [Source:HGNC Symbol;Acc:HGNC:15892]	1.1219124	
CENPH	centromere protein H [Source:HGNC Symbol;Acc:HGNC:17268]	1.1195163	
KIF18A	kinesin family member 18A [Source:HGNC Symbol;Acc:HGNC:29441]	1.1191543	
STAR	steroidogenic acute regulatory protein [Source:HGNC Symbol;Acc:HGNC:11359]	1.119001	
GDI2	GDP dissociation inhibitor 2 [Source:HGNC Symbol;Acc:HGNC:4227]	1.1188494	
DLGAP5	DLG associated protein 5 [Source:HGNC Symbol;Acc:HGNC:16864]	1.1178547	
FAM96AP2	family with sequence similarity 96 member A pseudogene 2 [Source:HGNC Symbol;Acc:HGNC:43862]	1.1169986	
NIFK	nucleolar protein interacting with the FHA domain of MKI67 [Source:HGNC Symbol;Acc:HGNC:17838]	1.1169255	
ILDR2	immunoglobulin like domain containing receptor 2 [Source:HGNC Symbol;Acc:HGNC:18131]	1.1161556	
SMC2	structural maintenance of chromosomes 2 [Source:HGNC Symbol;Acc:HGNC:14011]	1.1151738	
SORD2P	"sorbitol dehydrogenase 2, pseudogene [Source:HGNC Symbol;Acc:HGNC:49919]"	1.1149542	
C10orf91	chromosome 10 open reading frame 91 (putative) [Source:HGNC Symbol;Acc:HGNC:27275]	1.1135055	
CHEK1	checkpoint kinase 1 [Source:HGNC Symbol;Acc:HGNC:1925]	1.1128051	
GJB2	gap junction protein beta 2 [Source:HGNC Symbol;Acc:HGNC:4284]	1.1101968	
DDX11L10	DEAD/H-box helicase 11 like 10 [Source:HGNC Symbol;Acc:HGNC:14125]	1.1099917	
DLK2	delta like non-canonical Notch ligand 2 [Source:HGNC Symbol;Acc:HGNC:21113]	1.1089885	
ALCAM	activated leukocyte cell adhesion molecule [Source:HGNC Symbol;Acc:HGNC:400]	1.1087837	
FAM3B	family with sequence similarity 3 member B [Source:HGNC Symbol;Acc:HGNC:1253]	1.1081582	
SKA1	spindle and kinetochore associated complex subunit 1 [Source:HGNC Symbol;Acc:HGNC:28109]	1.1074712	
CTDSPL	CTD small phosphatase like [Source:HGNC Symbol;Acc:HGNC:16890]	1.1074324	
HSPD1	heat shock protein family D (Hsp60) member 1 [Source:HGNC Symbol;Acc:HGNC:5261]	1.1054951	
TXNDC17	thioredoxin domain containing 17 [Source:HGNC Symbol;Acc:HGNC:28218]	1.1043838	
FIGNL1	fidgetin like 1 [Source:HGNC Symbol;Acc:HGNC:13286]	1.1037165	
TDP1	tyrosyl-DNA phosphodiesterase 1 [Source:HGNC Symbol;Acc:HGNC:18884]	1.1024401	
FAM183BP	"family with sequence similarity 183 member B, pseudogene [Source:HGNC Symbol;Acc:HGNC:34511]"	1.101739	
TWIST1	twist family bHLH transcription factor 1 [Source:HGNC Symbol;Acc:HGNC:12428]	1.1016479	
SLC46A1	solute carrier family 46 member 1 [Source:HGNC Symbol;Acc:HGNC:30521]	1.0986773	
MAPK6	mitogen-activated protein kinase 6 [Source:HGNC Symbol;Acc:HGNC:6879]	1.097755	
CENPK	centromere protein K [Source:HGNC Symbol;Acc:HGNC:29479]	1.0973719	
CLPB	"ClpB homolog, mitochondrial AAA ATPase chaperonin [Source:HGNC Symbol;Acc:HGNC:30664]"	1.0964465	
IL21-AS1	IL21 antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:40299]	1.0958537	
TMEM233	transmembrane protein 233 [Source:HGNC Symbol;Acc:HGNC:37219]	1.0955316	
RRM2	ribonucleotide reductase regulatory subunit M2 [Source:HGNC Symbol;Acc:HGNC:10452]	1.0936124	
LINC00239	long intergenic non-protein coding RNA 239 [Source:HGNC Symbol;Acc:HGNC:20119]	1.0933138	
ADK	adenosine kinase [Source:HGNC Symbol;Acc:HGNC:257]	1.0932484	
GINS2	GINS complex subunit 2 [Source:HGNC Symbol;Acc:HGNC:24575]	1.0928	
CHAF1A	chromatin assembly factor 1 subunit A [Source:HGNC Symbol;Acc:HGNC:1910]	1.0925585	
GTF2H3	general transcription factor IIH subunit 3 [Source:HGNC Symbol;Acc:HGNC:4657]	1.0918941	
LYRM7	LYR motif containing 7 [Source:HGNC Symbol;Acc:HGNC:28072]	1.0905659	
DDX10	DEAD-box helicase 10 [Source:HGNC Symbol;Acc:HGNC:2735]	1.090391	
CALU	calumenin [Source:HGNC Symbol;Acc:HGNC:1458]	1.0901299	
CDC20P1	cell division cycle 20 pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:29487]	1.0898166	
MKI67	marker of proliferation Ki-67 [Source:HGNC Symbol;Acc:HGNC:7107]	1.0891969	
LINC01123	long intergenic non-protein coding RNA 1123 [Source:HGNC Symbol;Acc:HGNC:49269]	1.0872788	
RPGRIP1L	RPGRIP1 like [Source:HGNC Symbol;Acc:HGNC:29168]	1.086846	
E2F7	E2F transcription factor 7 [Source:HGNC Symbol;Acc:HGNC:23820]	1.0862917	
MRPS28	mitochondrial ribosomal protein S28 [Source:HGNC Symbol;Acc:HGNC:14513]	1.0841933	
ZWINT	ZW10 interacting kinetochore protein [Source:HGNC Symbol;Acc:HGNC:13195]	1.0838715	
SBNO2	strawberry notch homolog 2 [Source:HGNC Symbol;Acc:HGNC:29158]	1.0836986	
E2F1	E2F transcription factor 1 [Source:HGNC Symbol;Acc:HGNC:3113]	1.0833292	
AURKA	aurora kinase A [Source:HGNC Symbol;Acc:HGNC:11393]	1.0823927	
NEK2	NIMA related kinase 2 [Source:HGNC Symbol;Acc:HGNC:7745]	1.0805142	
LINC02394	long intergenic non-protein coding RNA 2394 [Source:HGNC Symbol;Acc:HGNC:53321]	1.0801508	
UBE2T	ubiquitin conjugating enzyme E2 T [Source:HGNC Symbol;Acc:HGNC:25009]	1.0791909	
ZWILCH	zwilch kinetochore protein [Source:HGNC Symbol;Acc:HGNC:25468]	1.0790936	
NOC3L	NOC3 like DNA replication regulator [Source:HGNC Symbol;Acc:HGNC:24034]	1.0783912	
SUCLA2	succinate-CoA ligase ADP-forming beta subunit [Source:HGNC Symbol;Acc:HGNC:11448]	1.0776601	
LINC02848	long intergenic non-protein coding RNA 2848 [Source:HGNC Symbol;Acc:HGNC:54384]	1.0765722	
CSPG5	chondroitin sulfate proteoglycan 5 [Source:HGNC Symbol;Acc:HGNC:2467]	1.0757366	
EIF4BP6	eukaryotic translation initiation factor 4B pseudogene 6 [Source:HGNC Symbol;Acc:HGNC:37939]	1.0756332	
XRCC3	X-ray repair cross complementing 3 [Source:HGNC Symbol;Acc:HGNC:12830]	1.0754752	
EGFL7	EGF like domain multiple 7 [Source:HGNC Symbol;Acc:HGNC:20594]	1.0742081	
LSM6	"LSM6 homolog, U6 small nuclear RNA and mRNA degradation associated [Source:HGNC Symbol;Acc:HGNC:17017]"	1.0732011	
LINC01869	long intergenic non-protein coding RNA 1869 [Source:HGNC Symbol;Acc:HGNC:25050]	1.0718976	
MAD2L1	mitotic arrest deficient 2 like 1 [Source:HGNC Symbol;Acc:HGNC:6763]	1.0701318	
MCMDC2	minichromosome maintenance domain containing 2 [Source:HGNC Symbol;Acc:HGNC:26368]	1.069006	
RAD54B	RAD54 homolog B [Source:HGNC Symbol;Acc:HGNC:17228]	1.068606	
SPCS3	signal peptidase complex subunit 3 [Source:HGNC Symbol;Acc:HGNC:26212]	1.0681804	
SHMT1	serine hydroxymethyltransferase 1 [Source:HGNC Symbol;Acc:HGNC:10850]	1.0681531	
PGM2	phosphoglucomutase 2 [Source:HGNC Symbol;Acc:HGNC:8906]	1.0679487	
STMN1	stathmin 1 [Source:HGNC Symbol;Acc:HGNC:6510]	1.0675621	
DDN-AS1	DDN and PRKAG1 antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:53464]	1.0674499	
SLAMF1	signaling lymphocytic activation molecule family member 1 [Source:HGNC Symbol;Acc:HGNC:10903]	1.0660486	
HSP90AA1	heat shock protein 90 alpha family class A member 1 [Source:HGNC Symbol;Acc:HGNC:5253]	1.0658109	
CEP170B	centrosomal protein 170B [Source:HGNC Symbol;Acc:HGNC:20362]	1.0652828	
MICOS10	mitochondrial contact site and cristae organizing system subunit 10 [Source:HGNC Symbol;Acc:HGNC:32068]	1.0644166	
LINC02595	long intergenic non-protein coding RNA 2595 [Source:HGNC Symbol;Acc:HGNC:53946]	1.0637493	
PRELP	proline and arginine rich end leucine rich repeat protein [Source:HGNC Symbol;Acc:HGNC:9357]	1.063063	
CTXN1	cortexin 1 [Source:HGNC Symbol;Acc:HGNC:31108]	1.0622762	
RBM11	RNA binding motif protein 11 [Source:HGNC Symbol;Acc:HGNC:9897]	1.061423	
PTPRK	protein tyrosine phosphatase receptor type K [Source:HGNC Symbol;Acc:HGNC:9674]	1.0614045	
LRRC58	leucine rich repeat containing 58 [Source:HGNC Symbol;Acc:HGNC:26968]	1.0595751	
STK24	serine/threonine kinase 24 [Source:HGNC Symbol;Acc:HGNC:11403]	1.0586574	
CENPN	centromere protein N [Source:HGNC Symbol;Acc:HGNC:30873]	1.0580469	
HMMR	hyaluronan mediated motility receptor [Source:HGNC Symbol;Acc:HGNC:5012]	1.0570642	
ZC2HC1A	zinc finger C2HC-type containing 1A [Source:HGNC Symbol;Acc:HGNC:24277]	1.0553803	
FAM153CP	"family with sequence similarity 153 member C, pseudogene [Source:HGNC Symbol;Acc:HGNC:33936]"	1.0551536	
SELENOI	selenoprotein I [Source:HGNC Symbol;Acc:HGNC:29361]	1.0546677	
LSM5	"LSM5 homolog, U6 small nuclear RNA and mRNA degradation associated [Source:HGNC Symbol;Acc:HGNC:17162]"	1.0539519	
